 	15.01.2012 	13:15:25 	 	 	0,07 sm 	     3,99 sm 	043° 23,5252' N\n004° 53,7982' E 	88,07° 	 	1,61 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:17 h 	-0,07 Liter 	     97,89 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:18:25 	 	 	0,08 sm 	     4,07 sm 	043° 23,5198' N\n004° 53,9014' E 	93,95° 	 	1,76 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:20 h 	-0,07 Liter 	     97,82 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:21:25 	 	 	0,08 sm 	     4,15 sm 	043° 23,5180' N\n004° 54,0107' E 	88,02° 	 	1,78 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:23 h 	-0,07 Liter 	     97,75 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:24:25 	 	 	0,09 sm 	     4,24 sm 	043° 23,5254' N\n004° 54,1310' E 	81,20° 	 	1,95 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:26 h 	-0,07 Liter 	     97,68 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:27:25 	 	 	0,11 sm 	     4,35 sm 	043° 23,5401' N\n004° 54,2751' E 	82,69° 	 	2,13 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:29 h 	-0,07 Liter 	     97,61 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:30:25 	 	 	0,11 sm 	     4,46 sm 	043° 23,5563' N\n004° 54,4243' E 	82,76° 	 	2,42 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:32 h 	-0,07 Liter 	     97,54 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:33:25 	 	 	0,12 sm 	     4,58 sm 	043° 23,5720' N\n004° 54,5808' E 	81,14° 	 	2,31 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:35 h 	-0,07 Liter 	     97,47 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:36:25 	 	 	0,10 sm 	     4,68 sm 	043° 23,5790' N\n004° 54,7246' E 	83,67° 	 	1,98 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:38 h 	-0,07 Liter 	     97,40 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:39:25 	 	 	0,09 sm 	     4,77 sm 	043° 23,5842' N\n004° 54,8547' E 	92,55° 	 	2,09 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:41 h 	-0,07 Liter 	     97,33 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:41:02 	 	 	0,05 sm 	     4,82 sm 	043° 23,5854' N\n004° 54,9232' E 	72,46° 	 	1,67 ktn 	 	 	automatic line\nchange of course >20° 	 	 	 	 	 	 	 	 	 	 	00:02 h 	01078:43 h 	-0,07 Liter 	     97,26 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:42:25 	 	 	0,03 sm 	     4,85 sm 	043° 23,5878' N\n004° 54,9691' E 	97,73° 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:01 h 	01078:44 h 	-0,07 Liter 	     97,19 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:45:25 	 	 	0,05 sm 	     4,90 sm 	043° 23,5816' N\n004° 55,0368' E 	97,73° 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:47 h 	-0,07 Liter 	     97,12 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:48:25 	 	 	0,04 sm 	     4,94 sm 	043° 23,5732' N\n004° 55,0943' E 	97,73° 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:50 h 	-0,07 Liter 	     97,05 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:51:25 	 	 	0,04 sm 	     4,98 sm 	043° 23,5631' N\n004° 55,1520' E 	97,73° 	 	0,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:53 h 	-0,07 Liter 	     96,98 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:51:59 	 	 	0,01 sm 	     4,99 sm 	043° 23,5635' N\n004° 55,1661' E 	77,71° 	 	1,74 ktn 	 	 	automatic line\nchange of course >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	01078:53 h 	0,00 Liter 	     96,98 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:54:24 	 	 	0,04 sm 	     5,03 sm 	043° 23,5930' N\n004° 55,1212' E 	265,75° 	 	2,24 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:56 h 	-0,07 Liter 	     96,91 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	13:57:25 	 	 	0,11 sm 	     5,14 sm 	043° 23,6282' N\n004° 54,9782' E 	293,18° 	 	2,15 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01078:59 h 	-0,07 Liter 	     96,84 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:00:25 	 	 	0,11 sm 	     5,25 sm 	043° 23,6790' N\n004° 54,8374' E 	300,26° 	 	2,20 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:02 h 	-0,07 Liter 	     96,77 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:03:25 	 	 	0,11 sm 	     5,36 sm 	043° 23,7320' N\n004° 54,6990' E 	299,27° 	 	2,28 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:05 h 	-0,07 Liter 	     96,70 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:06:25 	 	 	0,12 sm 	     5,48 sm 	043° 23,7882' N\n004° 54,5581' E 	280,66° 	 	2,19 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:08 h 	-0,07 Liter 	     96,63 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:06:38 	 	 	0,01 sm 	     5,49 sm 	043° 23,7876' N\n004° 54,5469' E 	259,24° 	 	2,23 ktn 	 	 	automatic line\nchange of course >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	01079:08 h 	0,00 Liter 	     96,63 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:09:25 	 	 	0,10 sm 	     5,59 sm 	043° 23,7727' N\n004° 54,4099' E 	261,52° 	 	2,24 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:11 h 	-0,07 Liter 	     96,56 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:12:24 	 	 	0,12 sm 	     5,71 sm 	043° 23,7535' N\n004° 54,2540' E 	242,32° 	 	2,23 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:14 h 	-0,07 Liter 	     96,49 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:15:24 	 	 	0,12 sm 	     5,83 sm 	043° 23,7415' N\n004° 54,0964' E 	258,61° 	 	2,21 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:17 h 	-0,07 Liter 	     96,42 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:18:25 	 	 	0,12 sm 	     5,95 sm 	043° 23,7175' N\n004° 53,9406' E 	264,14° 	 	2,31 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:20 h 	-0,08 Liter 	     96,34 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:21:25 	 	 	0,19 sm 	     6,14 sm 	043° 23,7097' N\n004° 53,6839' E 	249,42° 	 	5,01 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:23 h 	-0,08 Liter 	     96,26 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:22:41 	 	 	0,11 sm 	     6,25 sm 	043° 23,6782' N\n004° 53,5377' E 	269,87° 	 	5,09 ktn 	 	 	automatic line\nchange of course >20° 	 	 	 	 	 	 	 	 	 	 	00:00 h 	01079:23 h 	0,00 Liter 	     96,26 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:24:25 	 	 	0,15 sm 	     6,40 sm 	043° 23,6343' N\n004° 53,3465' E 	250,70° 	 	3,82 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:26 h 	-0,08 Liter 	     96,18 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:27:25 	 	 	0,16 sm 	     6,56 sm 	043° 23,5818' N\n004° 53,1382' E 	250,64° 	 	3,11 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:29 h 	-0,08 Liter 	     96,10 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:30:25 	 	 	0,16 sm 	     6,72 sm 	043° 23,5386' N\n004° 52,9292' E 	255,04° 	 	3,10 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:32 h 	-0,08 Liter 	     96,02 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:33:25 	 	 	0,16 sm 	     6,88 sm 	043° 23,5027' N\n004° 52,7183' E 	257,88° 	 	3,09 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:35 h 	-0,08 Liter 	     95,94 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:36:25 	 	 	0,16 sm 	     7,04 sm 	043° 23,4717' N\n004° 52,5023' E 	264,04° 	 	3,23 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:38 h 	-0,08 Liter 	     95,86 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:39:24 	 	 	0,16 sm 	     7,20 sm 	043° 23,4480' N\n004° 52,2859' E 	263,14° 	 	3,17 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:41 h 	-0,08 Liter 	     95,78 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:42:25 	 	 	0,16 sm 	     7,36 sm 	043° 23,4257' N\n004° 52,0693' E 	260,85° 	 	3,02 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:44 h 	-0,08 Liter 	     95,70 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:45:25 	 	 	0,16 sm 	     7,52 sm 	043° 23,3996' N\n004° 51,8578' E 	258,66° 	 	3,14 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:47 h 	-0,08 Liter 	     95,62 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:48:25 	 	 	0,15 sm 	     7,67 sm 	043° 23,3763' N\n004° 51,6483' E 	263,20° 	 	2,90 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:50 h 	-0,08 Liter 	     95,54 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:51:25 	 	 	0,15 sm 	     7,82 sm 	043° 23,3666' N\n004° 51,4453' E 	266,71° 	 	2,91 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:53 h 	-0,08 Liter 	     95,46 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:54:25 	 	 	0,14 sm 	     7,96 sm 	043° 23,3527' N\n004° 51,2477' E 	261,67° 	 	2,87 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:56 h 	-0,08 Liter 	     95,38 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	14:57:24 	 	 	0,14 sm 	     8,10 sm 	043° 23,3327' N\n004° 51,0530' E 	263,93° 	 	2,97 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01079:59 h 	-0,08 Liter 	     95,30 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:00:25 	 	 	0,15 sm 	     8,25 sm 	043° 23,3099' N\n004° 50,8534' E 	260,44° 	 	2,86 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:02 h 	-0,08 Liter 	     95,22 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:03:25 	 	 	0,15 sm 	     8,40 sm 	043° 23,2881' N\n004° 50,6518' E 	259,49° 	 	2,92 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:05 h 	-0,08 Liter 	     95,14 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:06:25 	 	 	0,15 sm 	     8,55 sm 	043° 23,2645' N\n004° 50,4473' E 	261,57° 	 	2,97 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:08 h 	-0,08 Liter 	     95,06 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:09:24 	 	 	0,15 sm 	     8,70 sm 	043° 23,2416' N\n004° 50,2460' E 	265,34° 	 	2,98 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:11 h 	-0,08 Liter 	     94,98 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:12:24 	 	 	0,15 sm 	     8,85 sm 	043° 23,2209' N\n004° 50,0428' E 	268,45° 	 	3,00 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:14 h 	-0,08 Liter 	     94,90 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:15:25 	 	 	0,15 sm 	     9,00 sm 	043° 23,2094' N\n004° 49,8393' E 	265,62° 	 	3,03 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:17 h 	-0,08 Liter 	     94,82 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
 	15.01.2012 	15:18:25 	 	 	0,15 sm 	     9,15 sm 	043° 23,1937' N\n004° 49,6331' E 	263,18° 	 	3,01 ktn 	 	 	Automatischer Eintrag durch Timer 	 	 	 	 	 	 	 	 	 	 	00:03 h 	01080:20 h 	-0,08 Liter 	     94,74 Liter 	 	 	0,00 Liter 	    250,00 Liter 	  
